title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【ヲタクさん必見】超おすすめ！あのシールそっくりに作れちゃう推しシールの作り方❣️,/watch?v=4tPxlRE55xg,154710,1D&amp;ゆーぽん,650000,,175641,88
🌻🌻🌻．．．,/watch?v=Vb2egG8W2eU,32372,1D&amp;ゆーぽん,650000,,175641,18
【おうちカフェ】家で簡単に作れる青空ゼリーを作ってみた!!☁️💙🍒💙☁️,/watch?v=hU4XfTAJ398,82098,1D&amp;ゆーぽん,650000,,175641,47
【DAISO】ダイソーで大きい商品・欲しかった物を大量に買ってきたので紹介します!!,/watch?v=7Np1cGkuAHo,227508,1D&amp;ゆーぽん,650000,,175641,130
バカップルが踊ったらこうなる。,/watch?v=0ZzQStyZdPU,459024,1D&amp;ゆーぽん,650000,,175641,261
カビゴンの上で…,/watch?v=WRdmeY28Am4,47390,1D&amp;ゆーぽん,650000,,175641,27
【ETUDE】必見！エチュードの新作のアイシャドウ・ティントが可愛すぎるんだよおおおおおお!!!「🍓スイートコスメ🍑」,/watch?v=eYt4aG27n10,46336,1D&amp;ゆーぽん,650000,,175641,26
【必見】現役女子高校生のバッグの中身を大公開しちゃいます！こんなものを入れるといいよ！！,/watch?v=zBQTtIVxQKE,137861,1D&amp;ゆーぽん,650000,,175641,78
【ヲタ活】推しのブロックメモ帳が簡単に作れるオリジナルブロックメモの作り方を紹介します✂️,/watch?v=Dx8K0voTB_A,101446,1D&amp;ゆーぽん,650000,,175641,58
【大人メイク】やっぱりオトナっぽくなりたい。ブラウンコスメで作るオトナメイク💋,/watch?v=lH_BmVpDdTw,42701,1D&amp;ゆーぽん,650000,,175641,24
住所が変わりました。必ず見てください。,/watch?v=oM8sQZjT22o,95997,1D&amp;ゆーぽん,650000,,175641,55
【鬼滅の刃】日輪刀コレクション大人買いで大開封！！クオリティが高すぎる！,/watch?v=EM4OjJ6Q7q0,58959,1D&amp;ゆーぽん,650000,,175641,34
【キャンメイク35周年 】アニバーサリーコフレ！hitアイテムが入った限定コフレが最高すぎる！！,/watch?v=L0lPFyM27xs,39132,1D&amp;ゆーぽん,650000,,175641,22
【雲メイク】学生の中で流行っている初心者の方でも簡単にできちゃう雲メイクを初めてやってみた！！,/watch?v=5FaDwBshuuQ,63939,1D&amp;ゆーぽん,650000,,175641,36
みなさんにお願いがあります。,/watch?v=lpCXRllc_WY,92704,1D&amp;ゆーぽん,650000,,175641,53
【鬼滅の刃】ウエハース2を大量開封!! シークレットは出たのかドキドキの開封....,/watch?v=yKk97uXmPFU,273792,1D&amp;ゆーぽん,650000,,175641,156
アベノマスクがついに届いた！！！,/watch?v=mLY-WrAcgPQ,84960,1D&amp;ゆーぽん,650000,,175641,48
【最新版】スマホの中身を紹介していたら懐かしい変なものが出てきた...中身を大公開しちゃいます！！,/watch?v=g0n6mzrp3TA,173935,1D&amp;ゆーぽん,650000,,175641,99
まったり行くか（？）,/watch?v=mhRPQ2dfTAs,50067,1D&amp;ゆーぽん,650000,,175641,29
🇨🇳中国メイクに挑戦🇨🇳整形級すぎるこのメイクが最高すぎたんじゃ！！！(Chinese makeup 中国妆),/watch?v=B7xic0aId2E,167758,1D&amp;ゆーぽん,650000,,175641,96
タイトルなし。,/watch?v=yrhxOQqpP9Y,82926,1D&amp;ゆーぽん,650000,,175641,47
【一応ASMR】家にあるものでASMRをしてみた！！,/watch?v=c7rIzNbYoi4,147559,1D&amp;ゆーぽん,650000,,175641,84
【文房具】高校生が勧めるシャーペンランキングBest10とは！？今まで使ってきた大量のシャーペンの中で一番いいもの👀「学生さん必見」,/watch?v=KZTdW0i4ryg,250352,1D&amp;ゆーぽん,650000,,175641,143
【鬼滅の刃】ローソン×鬼滅の刃グッズがやっと届いた!! 「開封動画」,/watch?v=-yIssA5BkZE,184773,1D&amp;ゆーぽん,650000,,175641,105
量産型ヲタクになってみた🥺🎀🧸💖,/watch?v=7nckY9cGteI,141446,1D&amp;ゆーぽん,650000,,175641,81
撮影があるのでメイクをする動画。,/watch?v=9HuG3Uhjudo,96738,1D&amp;ゆーぽん,650000,,175641,55
【大型コラボ】YouTuberって家にある1番捨てたい物ってなんだろう？？仲良しYouTuberさんに見せてもらった！！,/watch?v=zSUNYv4SyYU,377736,1D&amp;ゆーぽん,650000,,175641,215
【100均/DAISO】自粛中少しでも女子力を上げたい！DAISOネイルをしてみたら可愛かった！！,/watch?v=0Vo2IQkjFmU,118001,1D&amp;ゆーぽん,650000,,175641,67
JK初めて男装してみた結果･･･,/watch?v=b4I4sGVASoo,86542,1D&amp;ゆーぽん,650000,,175641,49
【DAISO/100均】どすっぴんから100均コスメでフルメイクをしたら色々おもしろすぎたww,/watch?v=WXE8-9ooK3k,210538,1D&amp;ゆーぽん,650000,,175641,120
【大公開】中学生の頃の授業ノートと振り返りプリントなど大公開しちゃいますww,/watch?v=evCCwFh13Zg,93396,1D&amp;ゆーぽん,650000,,175641,53
恋バナしよ！！！！！,/watch?v=M5k4rHcRu9o,105139,1D&amp;ゆーぽん,650000,,175641,60
俺んち来る？,/watch?v=pOzbLYescTs,181314,1D&amp;ゆーぽん,650000,,175641,103
JKが初めて男子中学生にメイクをしてあげるとこうなりますww【女装】,/watch?v=hpWvK3SvuHw,137373,1D&amp;ゆーぽん,650000,,175641,78
【レイぽん質問コーナー】今まで答えたことのない質問を正直に答える。本音を暴露！！,/watch?v=qtFshwEMU30,92552,1D&amp;ゆーぽん,650000,,175641,53
部屋でまったり暮らす。,/watch?v=Xc7hgjr6oUk,94258,1D&amp;ゆーぽん,650000,,175641,54
【ヲタ活】硬質カードケース（トレカケース）をひたすらデコる動画。「＃うちで過ごそう」,/watch?v=oNzw969RqFU,203487,1D&amp;ゆーぽん,650000,,175641,116
私が地雷女メイクをしたらこうなった。,/watch?v=BVMk528eB7E,220022,1D&amp;ゆーぽん,650000,,175641,125
【スクバの中身】現役高校生のスクールバッグの中身を大公開しちゃいます！,/watch?v=tzCscZs7PGI,460929,1D&amp;ゆーぽん,650000,,175641,262
【ダイエット】フラフープチャレンジ！有酸素運動でダイエットにも効果あり！,/watch?v=fTOAlEnv3ZE,90469,1D&amp;ゆーぽん,650000,,175641,52
前髪を自分で切る！！！！！！,/watch?v=Re1HoBD7p4Y,157470,1D&amp;ゆーぽん,650000,,175641,90
自粛中は通販に頼ろう!!人生初めてPLAZA通販で買ってみた！PLAZA通販で買った物紹介♡,/watch?v=G1Kv4h6Vruk,134292,1D&amp;ゆーぽん,650000,,175641,76
「#うちで過ごそう」お部屋でスライム整理整頓！！,/watch?v=Dr-g1gUTykY,118401,1D&amp;ゆーぽん,650000,,175641,67
【フルーツ飴】人生初！いろんなフルーツ飴を作ってみた！！出来上がりが予想外で驚き！！！,/watch?v=s7ZC4uJMwY4,197562,1D&amp;ゆーぽん,650000,,175641,112
【ヲタク必見】DAISOで揃えられる売り物のようなシールが作れちゃう！！ただそれを作るだけの動画。「＃うちで過ごそう」,/watch?v=8Q7FTRylw2M,185451,1D&amp;ゆーぽん,650000,,175641,106
ついにあれが家に届いてしまった....,/watch?v=rnx5Xyd0Z54,406377,1D&amp;ゆーぽん,650000,,175641,231
自分流の見やすい授業ノートのまとめ方を教えちゃいます！！,/watch?v=qVQFiw48OXA,230288,1D&amp;ゆーぽん,650000,,175641,131
【＃うちで過ごそう】ヲタクの過ごし方になっちゃった動画。,/watch?v=HDPx3v2lGHk,155664,1D&amp;ゆーぽん,650000,,175641,89
【＃うちで過ごそう】お部屋の片付けをする!!,/watch?v=hBNXUSVI1SA,197635,1D&amp;ゆーぽん,650000,,175641,113
デカキンさんとアツい🔥ラブレター対決....!!!!!!,/watch?v=z2vrRIn0Ows,59465,1D&amp;ゆーぽん,650000,,175641,34
【大型コラボ】大豪邸でNGワードお菓子パーティー! 言ってしまったらお菓子を食べず即退出...！！,/watch?v=zac1Ff5aKes,264324,1D&amp;ゆーぽん,650000,,175641,150
【鬼滅の刃】ヴィレッジヴァンガードで買った鬼滅グッズを開封！！！！,/watch?v=eiDO9pGuZLU,292056,1D&amp;ゆーぽん,650000,,175641,166
【机紹介】新高校2年生になるけど高2っぽくない机を紹介します!!ww,/watch?v=oKQQ1idLdns,995165,1D&amp;ゆーぽん,650000,,175641,567
【春コスメ】ETUDE HOUSEで新商品が発売！春っぽい桜のコスメがかわいすぎた🌸「Heart Blossom Collection」,/watch?v=ENmQC8vXGzE,98309,1D&amp;ゆーぽん,650000,,175641,56
はぁ？はぁー？は？は？は？はっ?!,/watch?v=9sG6lQoezc4,275782,1D&amp;ゆーぽん,650000,,175641,157
アクセサリー収納を自分で作ってみた！！超簡単に作れるドッツブレスレットが可愛すぎた❤︎,/watch?v=fQCnxKCMotQ,78200,1D&amp;ゆーぽん,650000,,175641,45
【ヲタク必見】これは便利すぎるセリアで買ったおすすめ商品を教えちゃいます！！「購入品紹介」,/watch?v=pCUd-LU77Cw,430603,1D&amp;ゆーぽん,650000,,175641,245
タイトルなし＃2,/watch?v=XfMjvbafLQU,65229,1D&amp;ゆーぽん,650000,,175641,37
【鬼滅の刃】全16種フルコンプ！ダイカットステッカーがカードダスになって登場！,/watch?v=RdjMPQ1DSjY,273934,1D&amp;ゆーぽん,650000,,175641,156
ある男性YouTuberさんと告白します。,/watch?v=BEl_SRqA3fY,230164,1D&amp;ゆーぽん,650000,,175641,131
お昼休み🍱😋,/watch?v=qULnyysc0Hs,69987,1D&amp;ゆーぽん,650000,,175641,40
【新学期】筆箱の中身紹介！シンプル系に揃えてみた🌟,/watch?v=68yXWTUOPjY,430834,1D&amp;ゆーぽん,650000,,175641,245
