,Unnamed: 0,channel_url,channel_name
105,/channel/UC1XwtGlFf86u56I15j8peLQ,Afternoon Delight,
106,/channel/UCoLQZ4ZClFqVPCvvjuiUSRA,문복희 Eat with Boki,
107,/user/techboomie,Techboomie ASMR,
108,/channel/UCirMidzuIUIlOJLUv46UFfQ,Love to Eat,
109,/channel/UC4PpFUrfT2Pou7OwpVF0MUQ,쏘영 Ssoyoung,
114,/channel/UCGa0i7fssw6ZecR8BaulWyA,RealMouth ASMR,
116,/user/xxxibchoi,Zach Choi ASMR,
117,/channel/UCukMSPQL4dQBlbeBXar4J3w,Jimmy ASMR,
118,/channel/UCj-durTg1W7uWsB8oq0u7kA,엔조이커플enjoycouple,
119,/channel/UCp4LfMtDfoa29kTlLnqQ5Mg,SAS-ASMR,
123,/channel/UCnKpC6omJjJWVtV42COusqg,Asmr Eating Compilations,
125,/channel/UCg7xkCKcxA84xSTGgtF9ySA,JaeYeol ASMR 재열,
127,/channel/UC2wZJuuD_WA9ps2FORco1EQ,까니짱 [ G-NI ],
128,/channel/UCxtLc0Jqq3SKBWlIXM_OC9g,Hongyu ASMR 홍유,
129,/channel/UCXwtO_YYmph_Wv27gzwGyfQ,Kluna Tik 3,
131,/channel/UC4sA_I5CYs0LoHe7OWQ_y4g,ASMR Gaming News,
133,/channel/UCALl6UrYtJndCXo2p6hANPQ,Bokyoung ASMR보경,
135,/channel/UC88Qzl8DnaiR0Pxadh56iQw,Life with MaK,
137,/channel/UCDMcJBhNEn1bSGG6AmiRRFw,Dhuha ASMR,
138,/channel/UCx_7Isnu10jfrlV7m1Fz06A,Chihun ASMR 치훈,
145,/channel/UCbzI92w5vWa6mEj1dACfy6g,푸메Fume,
148,/channel/UCPJUjCjr1sGOMlLpQ6VlO8w,にとちゃんねる,
149,/channel/UCy2if-N3KVswQF2KjiqWx9Q,Poki ASMR,
153,/channel/UC2fsxQr6Hcx1enORxXgKpxQ,Jane ASMR 제인,
154,/channel/UCWo_edysoLbWGh5T07ynxmg,The ASMR Guys - Asmr Food,
165,/channel/UCVKNkBHw8KawNEal3mrhCyg,Eating Show Time,
170,/channel/UCVSuNMqgvEwTmWHx8fs9nhw,Chan Sori Asmr,
171,/channel/UC0ipdYy6ComqBHX14p_oP0g,ASMR TERA 테라,
173,/channel/UCkCYWJzLzPV2k8X3H5Q5OCg,The CrunchBros,
177,/channel/UCI_Wqg7mdzMRq-P5OcfP1KA,Moon ASMR,
178,/channel/UCyUp0cQrU5CGeN5qXgrApQg,Jak Roberto,
186,/channel/UCyls5FepyOPvI-fNOELkkeQ,asmr choa,
188,/channel/UCN2Qt0Ha-fyU8D01jDbiwKw,Cooking ASMR,
193,/channel/UCKJ372LK4er3akRX_3dNF0w,TomASMR,
195,/channel/UCn2y0RDTZEFceyhXhKogWdA,Kluna Tik's Fan,
196,/channel/UCP1e4pbKQgrwI1KnR2Yb3TQ,Oliang and nomyen TV,
198,/channel/UCLjUvSNHyV66ryx_U6U5bGQ,Prince De Guzman Transformations,
199,/channel/UCpak-zDg3JvdIrfVO68QDEg,It's So Good,
201,/channel/UCGbcIqN7Iep_fXb9cpn0BaQ,Ting Tingles ASMR,
203,/channel/UCLwq33LqM4Yfb2iJkMfXiMA,Mukbang TV,
206,/channel/UCGmbb_hVgA4R4jeKmwYDJ-A,Trixie's Foodie,
210,/channel/UCJznWb9Lt2NzsEurcUpfZ4g,Yannis Divramis ASMR,
212,/channel/UC0ixo-bIYkKZaDyQSLogiwQ,guilt tea,
221,/user/KaliMuscle,Kali Muscle,
225,/channel/UCG4RWhYnJKnNKewA22VvySA,ASMR Phan,
231,/user/dolcefoodie,dolcefoodie,
244,/channel/UCeftkDFnfUJ3xMiFzRbmx7Q,순이 엄마SUNI MOM,
247,/user/justinbeiberisphenom,Megan McCullom,
253,/channel/UCCXMs6PQggCSUW-nlk5_8qQ,MICHIKA TV,
265,/channel/UCUd4nvdLClQ1SyHhQYhFeEQ,RYO ASMR,
