title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
#13. Octopus🐙| 문어| タコ| 章魚| COMPILATION| ASMR| MUKBANG| EATING SHOW,/watch?v=arPgvYcVjdE,43707,Drool ASMR,12700,5か月前,76948,57
#12.  Embryo🐣| 오리 배아| アヒルの胚| 鸭胚| COMPILATION| ASMR| MUKBANG| EATING SHOW,/watch?v=A1mL2IcSPOE,60303,Drool ASMR,12700,5か月前,76948,78
#11. Steak🥩| 스테이크| ステーキ| 牛排| COMPILATION| ASMR| MUKBANG| EATING SHOW,/watch?v=4wlOhjXTAWY,12190,Drool ASMR,12700,5か月前,76948,16
#10. Lobster🦞| 랍스터 | ロブスター| 龍蝦| COMPILATION| ASMR| MUKBANG| EATING SHOW,/watch?v=PJjLMiRLcLk,64451,Drool ASMR,12700,5か月前,76948,84
#9. RAW SHRIMP🦐| 생 새우| 生えび| 生蝦| COMPILATION| ASMR| MUKBANG| EATING SHOW,/watch?v=uXToH-9wsNs,212263,Drool ASMR,12700,5か月前,76948,276
#8. SEA URCHIN| 성게| ウニ| 海膽| COMPILATION| ASMR| MUKBANG| EATING SHOW,/watch?v=erJ7o-obtqw,21328,Drool ASMR,12700,5か月前,76948,28
#7. BIG CRAB🦀| 큰 크랩| かに| 蟹| COMPILATION| ASMR| MUKBANG| EATING SHOW,/watch?v=bFO_Ottrfuo,103787,Drool ASMR,12700,5か月前,76948,135
#6. RAW OCTOPUS🦑| 生タコ| 生章魚| COMPILATION| ASMR| MUKBANG| EATING SHOW,/watch?v=zFckhuZ4Gps,58418,Drool ASMR,12700,5か月前,76948,76
#5. MUSHROOMS🍄| 버섯| きのこ| 蘑菇| COMPILATION| ASMR| MUKBANG| EATING SHOW,/watch?v=JB59mE7YOlI,38125,Drool ASMR,12700,5か月前,76948,50
#4. RAW BEEF🥩| 생 쇠고기| 生の牛肉| COMPILATION| ASMR| MUKBANG| EATING SHOW,/watch?v=TUBu58PBlso,57525,Drool ASMR,12700,6か月前,76948,75
#3. SALMON| 연어| サーモン| 鮭魚| COMPILATION| ASMR| MUKBANG| EATING SHOW,/watch?v=6YAxnEypyOA,244909,Drool ASMR,12700,6か月前,76948,318
#2. RAW CRAB🦀| 간장 게| 醤油カニ| 醬油蟹| COMPILATION| ASMR| MUKBANG| EATING SHOW,/watch?v=qvtzzznkv6I,37224,Drool ASMR,12700,6か月前,76948,48
#1. OYSTERS| 🦪| かき| 굴| 蠔| COMPILATION| ASMR| MUKBANG| EATING SHOW,/watch?v=oLWHEU1Ew7E,119911,Drool ASMR,12700,6か月前,76948,156
