title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
ASMR 咀嚼音 | 芒果味水晶果果+海盐千层+雪花草莓盒子『浅浅』,/watch?v=VFDUp56Ju6M,2,安沫浅浅浅姬,8,4か月前,12,17
ASMR 咀嚼音 | 水果软糖+秘制番茄关东煮『浅浅』,/watch?v=j380ZBg9L48,5,安沫浅浅浅姬,8,4か月前,12,42
ASMR 咀嚼音 | 牛奶味泡芙+巧克力味小熊饼干『浅浅』,/watch?v=iIAvYtZfj7o,8,安沫浅浅浅姬,8,4か月前,12,67
ASMR 咀嚼音 | 山药豆+糯米山楂『浅浅』,/watch?v=ptN8hgik_bI,2,安沫浅浅浅姬,8,4か月前,12,17
ASMR 咀嚼音 | 咸口豆腐脑+韭菜鸡蛋小笼包『浅浅』,/watch?v=n-OEJUcRD7w,5,安沫浅浅浅姬,8,4か月前,12,42
ASMR 咀嚼音 | 皇冠丹麦黄油曲奇饼干+望丽喷射稀奶油『浅浅』,/watch?v=8EoIyVRwJGM,9,安沫浅浅浅姬,8,4か月前,12,75
ASMR 咀嚼音 | 百香果软糖+榴莲软糖『浅浅』,/watch?v=Z1_6mmUPS9M,2,安沫浅浅浅姬,8,4か月前,12,17
ASMR 咀嚼音 | 年糕田头菇鸡汤米粉『浅浅』,/watch?v=vUBL_5BnbgU,0,安沫浅浅浅姬,8,5か月前,12,0
ASMR 咀嚼音 | 多肉葡萄雪绒芝士+层层爆浆葡萄蛋糕『浅浅』,/watch?v=N-XBAhqvQnw,7,安沫浅浅浅姬,8,5か月前,12,58
ASMR 咀嚼音 | 旺旺雪饼+芝士仙贝『浅浅』,/watch?v=cdLyGleqHu0,8,安沫浅浅浅姬,8,5か月前,12,67
