title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
ASMR Eat Ice| Rectangle Shape Shavedice | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=BO3oq6KkFP8,50170,Eat Ic,17400,,41918,120
ASMR Eat Ice| Hollow Square Shape Shavedice | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=toWg5NpR3QE,29766,Eat Ic,17400,,41918,71
ASMR Eat Ice| Round cake Shape Shavedice | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=MAPmGCNTUdk,41168,Eat Ic,17400,,41918,98
ASMR Eat Ice| Shavedice | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=PPH7VBUfVAg,44676,Eat Ic,17400,,41918,107
ASMR Eat Ice| Ice Nugget & Pizza Shavedice  | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=lr3mrJQzKWE,34596,Eat Ic,17400,,41918,83
ASMR Eat Ice| Round Shape Shavedice | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=qgiQESkY0wo,25922,Eat Ic,17400,,41918,62
ASMR Eat Ice| Filled Shavedice Cube  | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=Wyv2q7g8VKo,53802,Eat Ic,17400,,41918,128
ASMR Eat Ice| Shavedice&Powderyice | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=Qeq7VXxbsTE,34231,Eat Ic,17400,,41918,82
ASMR Eat Ice| Slush Blocks Ice Disk | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=NcD4JWxaVx8,43732,Eat Ic,17400,,41918,104
ASMR Eat Ice| Shavedice&Powderyice | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=gQy13_8ZF44,107216,Eat Ic,17400,,41918,256
ASMR Eat Ice| Snow Ball Shavedice&Powderyice | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=j0IDBYfLeik,39977,Eat Ic,17400,,41918,95
ASMR Eat Ice| Ice Brick Shavedice&Powderyice | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=83_RYpMtTWY,74012,Eat Ic,17400,,41918,177
ASMR Eat Ice| Carbonated ice & Snowball  | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=gha2wNe4AIc,161897,Eat Ic,17400,,41918,386
ASMR Eat Ice| Ice block Carbonated ice | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=cqk78DfzWqY,38910,Eat Ic,17400,,41918,93
ASMR Eat Ice| Ice Ball Pit Carbonated ice | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=vtyoZHi0VMc,257284,Eat Ic,17400,,41918,614
ASMR Eat Ice|   Hollow Ice Shavedice | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=BE6dlu5RBlE,44848,Eat Ic,17400,,41918,107
ASMR Eat Ice| Shavedice&Hard ice | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=KdguEMzVGY4,25722,Eat Ic,17400,,41918,61
ASMR Eat Ice| Shavedice | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=sZJ-a-f2Gtk,58697,Eat Ic,17400,,41918,140
ASMR Eat Ice| Shavedice & Hollow Ice | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=gSn2vPSMJCM,17100,Eat Ic,17400,,41918,41
ASMR Eat Ice| Round Shape Shavedice & Hardice | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=g04JyueiXAk,12897,Eat Ic,17400,,41918,31
